project,risk,stakeholder,idx
Quantifying ecosystem services through the use of Geographic Information System (GIS) models|evaluating the impact of different land use scenarios on biodiversity and carbon storage,Habitat loss and fragmentation|conversion of wetlands and surrounding uplands to crop production|release of greenhouse gases due to land use changes,Local communities|conservation organizations|government ag,5791
Estimation of exposure and health risks associated with fluoride and trace metals in black tea,Associated health risks for fluoride and trace metals|including carcinogenic risk levels for arsenic,Participants who supplied samples of their tea drinking and completed a questionnaire regarding their personal characteristics and daily tea intake,5792
Determining factors contributing to prolonged hospital stay in a tertiary hospital in Singapore (random sampling of 600 medical records,Bed crunch|increasing number of patients with prolonged hospital stay|medically unfit (waiting for medical treatment|surgical interventions|receiving intravenous chemotherapy/radiotherapy,None,5794
Generating more accurate environmental contour lines|calculating the 50 year extreme fore-aft shear force value of a monopile-supported 5 MW offshore wind turbine installed at a chosen offshore site,Environmental contour lines|extreme structural dynamic responses|50 year extreme sea state,The authors of the paper|who have conducted,5795
analysis|study|portions|river catchment|geographic information system (GIS|multi-criteria evaluation techniques|land use characteristics|population density|flood preparedness|flood mitigation,flood|hazard|inundation|steep flow analysis|steady flow analysis,None,5796
First Scientific Conference,improperly integrating human development needs with land condition monitoring and assessment|failing to consider the underlying forces causing changes in land condition|lack of an independent scientific advisory mechanism to advise the UNCCD on decision-making,local communities|scientists|policymakers|institutions|and knowledge drivers,5797
urban development in the last 60 years,flash floods|mass wasting|earthquakes,modern Granada and its metropolitan area|with about a half million inhabitants,5799
Development of High-Temperature Superconducting SQUID Magnetometers (HTSc-SQUID,None,Federal Minister of Education Science|Research and Technology|authors involved in the research project|and possibly materials testing and medical engineering industries,5802
Designing and managing smart services,Complexity of the underlying cyber-physical system (CPS|individual life cycles of components and third-party services it consists of,None,5805
None,Determinism (one-sided determination|stability (instability of project optimization results,Grid companies (case study,5806
